Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_35514df8	Narrator	Bells chime behind you as you exit the carriage and look up at the great structure before you.	game/script.rpy	175	Narrator "[what]"
start_b54e4d05	Narrator	It's nothing like the Scholomance you came from, it's quainter. A great tower atop an impossibly high mountain, overlooking nothing but forests.	game/script.rpy	176	Narrator "[what]"
start_2d39cb64	Narrator	In the far distance, over the horizon, you imagine your old home. It warms you. The other carriages seem empty.	game/script.rpy	177	Narrator "[what]"
start_1a0ea9d0	Narrator	Like usual, you are the last to arrive. An older woman waits at the entrance: Alice. You'd taken a few classes from her at the Scholomance.	game/script.rpy	178	Narrator "[what]"
start_0a339d69	Narrator	As you move closer, you become aware that it's not quite Alice -- it's one of her dolls.	game/script.rpy	179	Narrator "[what]"
start_047e488f	Narrator	You wipe the rain from your eyes. The doll turns her gaze to you.	game/script.rpy	180	Narrator "[what]"
start_69292743	Alice	You took your time. I was getting close to sending out a search party.	game/script.rpy	185	Alice "[what]"
start_8b451da1	Alice	The ceremony hasn't begun yet. Your fellow classmates are in the atrium. Leave your luggage, I'll get someone to take them to your dorm.	game/script.rpy	186	Alice "[what]"
start_81de500d	Alice	Go on in. I must lock the doors behind you. Find your classmates.	game/script.rpy	187	Alice "[what]"
start_3bd1d8b3	Alice	Safety reasons.	game/script.rpy	190	Alice "[what]"
start_b8298fb9	Alice	We aren't in the Scholomance anymore, pupil.	game/script.rpy	193	Alice "[what]"
start_64037207	Alice	Just until the morning. Please, go on in.	game/script.rpy	196	Alice "[what]"
start_aa605f48	Narrator	The doors open as you approach. You enter the atrium.	game/script.rpy	206	Narrator "[what]"
start_16c5a32a	Narrator	What first catches your eye is two floating moons. More specifically, moon replicas. The Matron and Son, one large, battered and carved, and orbitted by a smaller, more prestine one.	game/script.rpy	207	Narrator "[what]"
start_93c83da0	Narrator	They hover in the air, bobbing as they rotate, shining dull light across the room.	game/script.rpy	208	Narrator "[what]"
start_384bb70b	Narrator	As you look around you notice the statues built into alcoves in the wall, tall and protective, each has an alter at the base.	game/script.rpy	209	Narrator "[what]"
start_08c1d736	Narrator	The Saints, you assume.	game/script.rpy	210	Narrator "[what]"
start_f3d4e137	Narrator	You hear water, but can't quite find it, so instead you allow your eyes to follow the pillars supporting a glass ceiling. Moonlight shines down on you...	game/script.rpy	211	Narrator "[what]"
start_c4177d1b	Narrator	and your classmates.	game/script.rpy	212	Narrator "[what]"
start_357c6de5	Narrator	A familiar woman waves at you, inviting you to join the line of other examinees.	game/script.rpy	214	Narrator "[what]"
start_c92ff7b6	Narrator	As the chatter of the students dies down you hear the sharp clink of footsteps against the marble floor.	game/script.rpy	226	Narrator "[what]"
start_db2cf2c5	Narrator	As you look at the moons once more, you see a woman pass below them, standing on the platform before the students. You recognise her instantly: Inquisitor Eileen.	game/script.rpy	227	Narrator "[what]"
start_c805402b	Narrator	Rather than stand still, she turns, as if summoning the woman behind her. Inquisitor Alice, the woman who crafted the dolls. This isn't the first time you've seen her in person, but it still strikes you as odd.	game/script.rpy	229	Narrator "[what]"
start_01baca10	Narrator	The woman lives through a half-dozen dolls, it's very odd to see her in person. You notice another doll beside the staircase leading to a great green window.	game/script.rpy	231	Narrator "[what]"
start_2c2b0125	Alice	Good evening, pupils. I know the journey here wasn't smooth, but you all seem to have made it from the Scholomance in one piece.	game/script.rpy	233	Alice "[what]"
start_4720626a	Alice	I'm Inquisitor Alice, and beside me is Inquisitor Eileen. We've come to the Summit to fulfil our duties as examiners. We authorise your exams and will determine whether you pass...	game/script.rpy	234	Alice "[what]"
start_99ee8b8d	Narrator	She looks over the room. You hear droplets fall.	game/script.rpy	236	Narrator "[what]"
start_87a2e073	Alice	Or if you fail.	game/script.rpy	238	Alice "[what]"
start_e8ba82d8	Alice	The six of you have been carefully selected by the Council and deemed worthy, trained, and old enough to attempt your Mage Licence Exam.	game/script.rpy	239	Alice "[what]"
start_28b03ffc	Alice	Upon receiving this title you will be not only authorised, but also assisted in departing the Scholomance and joining society as a Town Mage.	game/script.rpy	240	Alice "[what]"
start_f1f3b68b	Alice	Some of you have honed your Magecraft for over a decade for this moment. So I implore you to take the opportunity seriously.	game/script.rpy	241	Alice "[what]"
start_2972d0f7	Alice	Failure will result in your dismissal back to the Scholomance for further training.	game/script.rpy	242	Alice "[what]"
start_c8618dcd	Narrator	You hear a grunt. Turning, you notice a man scowl, his arms crossed tight as he stares up at Eileen.	game/script.rpy	245	Narrator "[what]"
start_90be43cf	Alice	I'm sure you all know what is on the line.	game/script.rpy	248	Alice "[what]"
